Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0x4daad9519aa68918bedf2127708b9fdb2fe149569520ed4e755bdd400f70f1ed,2025-08-07 23:56:47,0xdadb0d80178819f2319190d340ce9a924f783711,0x48319f97e5da1233c21c48b80097c0fb7a20ff86,ETH Transfer,,ETH,,0.013349,0.000000
0x8de84973a645f4d7a2098723fcd2b814183aa838e24bc32ef80072c37e460e95,2025-08-07 23:50:11,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0x48319f97e5da1233c21c48b80097c0fb7a20ff86,ETH Transfer,,ETH,,0.025361,0.000000
0xc0ad58a6b69aff6cb7c3e1afef1ca78364197e646f81aff20afe3f45c3a59b1f,2025-08-07 23:18:47,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0x48319f97e5da1233c21c48b80097c0fb7a20ff86,ETH Transfer,,ETH,,0.015248,0.000000
